"model","MAorder","variable","value"
"unc",1,"macoef1_y",0.0100857640170682
"net",1,"macoef1_y",0.00995840354537136
"unc",1,"macoef2_y",0
"net",1,"macoef2_y",0
"unc",1,"permvar_y",0.00311898176634778
"net",1,"permvar_y",0.001968821370166
"unc",1,"transshockvar_y",0.00350992092432019
"net",1,"transshockvar_y",0.00314471403233985
"unc",1,"macoef1_w",0.00317919744076662
"net",1,"macoef1_w",0.00264847543588783
"unc",1,"macoef2_w",0
"net",1,"macoef2_w",0
"unc",1,"permvar_w",0.00019494268409986
"net",1,"permvar_w",0.000157805649179237
"unc",1,"transshockvar_w",0.000229312575330979
"net",1,"transshockvar_w",0.000217042193258303
"unc",1,"perm_pt",0.00695524818615476
"net",1,"perm_pt",0.00628973588055592
"net",1,"marketperm_pt",0.0160009225477701
"unc",1,"trans_pt",0.00727241077446627
"net",1,"trans_pt",0.00391602581353752
"net",1,"markettrans_pt",0.0947704586224235
"unc",1,"permsd_w",0.000931850666740905
"net",1,"permsd_w",0.000768037263080586
"unc",1,"permsd_y",0.00793191685733815
"net",1,"permsd_y",0.00582227960983497
"unc",1,"transshocksd_w",0.00119706200009261
"net",1,"transshocksd_w",0.00113535761670546
"unc",1,"transshocksd_y",0.00991489443047466
"net",1,"transshocksd_y",0.00908982008671812
"unc",1,"transtotalvar_y",0.00643971103891537
"net",1,"transtotalvar_y",0.00579051704701433
"unc",1,"transtotalvar_w",0.000387483243857821
"net",1,"transtotalvar_w",0.000373463874451035
"unc",1,"pttransvar_w",1.07637570115133e-05
"net",1,"pttransvar_w",1.56596730287539e-06
"net",1,"marketpttransvar_w",5.01965059352838e-05
"unc",1,"ptpermvar_w",9.29872763584959e-05
"net",1,"ptpermvar_w",4.83465611611195e-05
"net",1,"marketptpermvar_w",6.25050689582828e-05
"unc",1,"totalvar_w",0.000426318593567952
"net",1,"totalvar_w",0.00040591542758261
"unc",1,"totalvar_y",0.00453455766659593
"net",1,"totalvar_y",0.00419220116034131
"unc",1,"totalsd_y",0.00731124812151326
"net",1,"totalsd_y",0.00728200988350892
"unc",1,"totalsd_w",0.00128047984296216
"net",1,"totalsd_w",0.00123532158928731
"unc",1,"transtotalsd_y",0.0135071966387255
"net",1,"transtotalsd_y",0.0124213243508864
"unc",1,"transtotalsd_w",0.00153336900557855
"net",1,"transtotalsd_w",0.00147945086501673
"unc",1,"ptpermsd_w",0.00165756492970586
"net",1,"ptpermsd_w",0.0010657084221873
"net",1,"marketptpermsd_w",0.0017926867952929
"unc",1,"pttranssd_w",0.00159256451424301
"net",1,"pttranssd_w",0.000638337535785377
"net",1,"marketpttranssd_w",0.00337377427941037
"unc",2,"macoef1_y",0.0542259197934332
"net",2,"macoef1_y",0.0387752862654657
"unc",2,"macoef2_y",0.0320554649225113
"net",2,"macoef2_y",0.0237989490535341
"unc",2,"permvar_y",0.00349297468733118
"net",2,"permvar_y",0.00136186620054449
"unc",2,"transshockvar_y",0.00333420497976077
"net",2,"transshockvar_y",0.00221691350130735
"unc",2,"macoef1_w",0.00729952324262726
"net",2,"macoef1_w",0.0057303194180959
"unc",2,"macoef2_w",0.00435163487667383
"net",2,"macoef2_w",0.00374971695292934
"unc",2,"permvar_w",0.000186932361331678
"net",2,"permvar_w",0.000141133057464814
"unc",2,"transshockvar_w",0.000272854676429713
"net",2,"transshockvar_w",0.000225079137145295
"unc",2,"perm_pt",0.00859369512824213
"net",2,"perm_pt",0.00729165751102724
"net",2,"marketperm_pt",0.0268013397768269
"unc",2,"trans_pt",0.00894448248629674
"net",2,"trans_pt",0.00388913776327839
"net",2,"markettrans_pt",0.0727175960607327
"unc",2,"permsd_w",0.00093283334456399
"net",2,"permsd_w",0.000713247470316383
"unc",2,"permsd_y",0.00875276128746332
"net",2,"permsd_y",0.00397459421766146
"unc",2,"transshocksd_w",0.00135645982430598
"net",2,"transshocksd_w",0.00112559251483315
"unc",2,"transshocksd_y",0.00979344685531905
"net",2,"transshocksd_y",0.00656481864564279
"unc",2,"transtotalvar_y",0.00592765371426082
"net",2,"transtotalvar_y",0.00494083755692615
"unc",2,"transtotalvar_w",0.000414541663952103
"net",2,"transtotalvar_w",0.000372027466722751
"unc",2,"pttransvar_w",1.65882609194712e-05
"net",2,"pttransvar_w",2.13530366606618e-06
"net",2,"marketpttransvar_w",3.50373800951605e-05
"unc",2,"ptpermvar_w",0.000118807885823656
"net",2,"ptpermvar_w",5.4480032261058e-05
"net",2,"marketptpermvar_w",0.00010799537876805
"unc",2,"totalvar_w",0.000426284957364856
"net",2,"totalvar_w",0.000405901421702054
"unc",2,"totalvar_y",0.00451466519016745
"net",2,"totalvar_y",0.0041846485651384
"unc",2,"totalsd_y",0.00727936423725384
"net",2,"totalsd_y",0.00726832570730393
"unc",2,"totalsd_w",0.00128035150821917
"net",2,"totalsd_w",0.00123525039838604
"unc",2,"transtotalsd_y",0.0126239389737165
"net",2,"transtotalsd_y",0.0106911308561373
"unc",2,"transtotalsd_w",0.00160186726032292
"net",2,"transtotalsd_w",0.00144187648709015
"unc",2,"ptpermsd_w",0.0020727832848853
"net",2,"ptpermsd_w",0.00118275738804668
"net",2,"marketptpermsd_w",0.00294524438060959
"unc",2,"pttranssd_w",0.00193834464989979
"net",2,"pttranssd_w",0.000781163808300053
"net",2,"marketpttranssd_w",0.00309316040386656
