"gross_inc_round","true_log","pred_log","N"
10,9.97072216715038,9.92728463725676,4907669
10.1,10.0481616853099,10.0185649594971,5838276
10.2,10.1266233919329,10.1099699747994,6761884
10.3,10.2057467704106,10.2012748591476,7611703
10.4,10.2862499895956,10.2925920624932,8305325
10.5,10.3690951975003,10.3839394005126,8817171
10.6,10.4549176810027,10.4753173643464,9165126
10.7,10.5449763936135,10.5667503892043,9321052
10.8,10.6379308450531,10.6581864815077,9335095
10.9,10.7313984882727,10.749669130312,9251346
11,10.8252948891278,10.8412233589474,9151230
11.1,10.9195881213718,10.9328176193006,9082244
11.2,11.014102121598,11.0243323812491,9025877
11.3,11.108925338235,11.1157795463907,8891542
11.4,11.2035440349991,11.207097864216,8562434
11.5,11.2973677604449,11.2984199415682,7996942
11.6,11.3898037018801,11.3896928937766,7229915
11.7,11.4815345156682,11.4809950101217,6322502
11.8,11.5733213535239,11.5723699830891,5378651
11.9,11.6648483936853,11.6637502981371,4473864
12,11.7570435787086,11.7552641008472,3674438
12.1,11.8508230373748,11.8467988919773,3009329
12.2,11.9451481867954,11.9383200168843,2454451
12.3,12.0396638833792,12.0298652542804,2001448
