"size","type","psi_jt","y_jt","l_jt","wagebill","xbar","size_main","h_j","size_h"
0.25,"pred",10.5490864531068,11.5558813331646,0.430194058686582,10.8745493541411,0.100401455900844,12337,-57.8315433583819,5326
0.5,"pred",10.573466424606,11.9258119086473,0.531443789701406,11.2479579284792,-0.154273921865095,19375,-58.6790100999148,23122
0.75,"pred",10.5951989334383,11.9911326314333,0.707259633816263,11.3091703616665,-0.134444900103117,117895,-58.0752275071077,116798
0.75,"true",10.5914370610178,12.7375285335889,0.705930988179003,11.2522415028939,-0.137958139302766,140854,-58.0688920756466,140854
1,"pred",10.6267271177452,12.4120658594953,1.05570350166125,11.7309705026409,-0.137783062322669,101458,-58.0159611702102,101899
1,"true",10.6210555930443,12.9769895254205,1.12651481246764,11.7144447625174,-0.153258426195647,154225,-57.802144035426,154225
1.25,"pred",10.6252712191969,12.581231060301,1.25641350094163,11.9004374050012,-0.151468030229977,105202,-57.7775155907165,109842
1.5,"pred",10.6497273815754,12.8793395548749,1.52371559507491,12.197979033464,-0.124097924934659,158443,-57.4910070933646,149709
1.5,"true",10.6460993474141,13.2789846952174,1.54706751879133,12.1682005804402,-0.137234662946667,256279,-57.5077385504178,256279
1.75,"pred",10.6534565503276,13.14638226967,1.78598934926142,12.4662140693541,-0.12489241575203,141764,-57.2389059893559,142046
1.75,"true",10.6591592982764,13.5350648770825,1.87509186269192,12.51226462771,-0.121185423031344,95724,-57.1874525580263,95724
2,"pred",10.6685241837843,13.4461213733075,2.06092407197946,12.765830499757,-0.0987199363041075,136952,-56.9573922000632,132642
2,"true",10.6681185569561,13.7261815986658,2.1076258269398,12.7549449774224,-0.106181710557005,142329,-56.9573736631442,142329
2.25,"pred",10.6730417443877,13.7095276023616,2.31862823428019,13.0303149333649,-0.0891229362826727,111759,-56.6357386086742,115120
2.25,"true",10.6756410405477,13.9383626861638,2.3624658458308,13.0186263604672,-0.092994948064702,97932,-56.6288799122126,97932
2.5,"pred",10.6820771411336,13.9836664515996,2.5817766204449,13.3053264613307,-0.0690845761877124,98892,-56.3268445536221,97313
